Country/Area,Item1,Purpose,Year,Overnight Stays
Australia,Aichi,Overall,2011,"5,670"
Australia,Aichi,Overall,2012,"9,600"
Australia,Aichi,Overall,2013,"10,380"
Australia,Aichi,Overall,2014,"12,710"
Australia,Aichi,Overall,2015,"14,500"
Australia,Aichi,Overall,2016,"14,190"
Australia,Aichi,Overall,2017,"22,080"
Australia,Aichi,Overall,2018,"22,350"
Australia,Aichi,Overall,2019,"28,580"
Australia,Aichi,Overall,2020,"5,460"
Australia,Aichi,Overall,2021,280
Australia,Aichi,Overall,2022,"4,070"
Australia,Aichi,Overall,2023,"43,040"
Australia,Aichi,Overall,2024,"68,060"
Australia,Akita,Overall,2011,210
Australia,Akita,Overall,2012,550
Australia,Akita,Overall,2013,630
Australia,Akita,Overall,2014,720
Australia,Akita,Overall,2015,"1,090"
Australia,Akita,Overall,2016,"1,410"
Australia,Akita,Overall,2017,"1,660"
Australia,Akita,Overall,2018,"1,990"
Australia,Akita,Overall,2019,"3,250"
Australia,Akita,Overall,2020,680
Australia,Akita,Overall,2021,90
Australia,Akita,Overall,2022,290
Australia,Akita,Overall,2023,"2,030"
Australia,Akita,Overall,2024,"1,990"
Australia,Aomori,Overall,2011,530
Australia,Aomori,Overall,2012,920
Australia,Aomori,Overall,2013,"1,070"
Australia,Aomori,Overall,2014,"1,930"
Australia,Aomori,Overall,2015,"2,430"
Australia,Aomori,Overall,2016,"2,820"
Australia,Aomori,Overall,2017,"2,800"
Australia,Aomori,Overall,2018,"4,600"
Australia,Aomori,Overall,2019,"8,420"
Australia,Aomori,Overall,2020,"3,120"
Australia,Aomori,Overall,2021,170
Australia,Aomori,Overall,2022,880
Australia,Aomori,Overall,2023,"7,770"
Australia,Aomori,Overall,2024,"12,380"
Australia,Chiba,Overall,2011,"40,770"
Australia,Chiba,Overall,2012,"53,870"
Australia,Chiba,Overall,2013,"59,760"
Australia,Chiba,Overall,2014,"68,440"
Australia,Chiba,Overall,2015,"81,130"
Australia,Chiba,Overall,2016,"82,220"
Australia,Chiba,Overall,2017,"100,300"
Australia,Chiba,Overall,2018,"115,990"
Australia,Chiba,Overall,2019,"148,500"
Australia,Chiba,Overall,2020,"35,170"
Australia,Chiba,Overall,2021,"3,550"
Australia,Chiba,Overall,2022,"12,790"
Australia,Chiba,Overall,2023,"113,000"
Australia,Chiba,Overall,2024,"214,900"
Australia,Ehime,Overall,2011,520
Australia,Ehime,Overall,2012,470
Australia,Ehime,Overall,2013,580
Australia,Ehime,Overall,2014,650
Australia,Ehime,Overall,2015,980
Australia,Ehime,Overall,2016,"1,680"
Australia,Ehime,Overall,2017,"2,430"
Australia,Ehime,Overall,2018,"2,550"
Australia,Ehime,Overall,2019,"2,940"
Australia,Ehime,Overall,2020,370
Australia,Ehime,Overall,2021,20
Australia,Ehime,Overall,2022,540
Australia,Ehime,Overall,2023,"3,630"
Australia,Ehime,Overall,2024,"5,000"
Australia,Fukui,Overall,2011,100
Australia,Fukui,Overall,2012,70
Australia,Fukui,Overall,2013,80
Australia,Fukui,Overall,2014,220
Australia,Fukui,Overall,2015,230
Australia,Fukui,Overall,2016,500
Australia,Fukui,Overall,2017,420
Australia,Fukui,Overall,2018,610
Australia,Fukui,Overall,2019,540
Australia,Fukui,Overall,2020,70
Australia,Fukui,Overall,2021,90
Australia,Fukui,Overall,2022,80
Australia,Fukui,Overall,2023,570
Australia,Fukui,Overall,2024,"1,370"
Australia,Fukuoka,Overall,2011,"3,560"
Australia,Fukuoka,Overall,2012,"7,600"
Australia,Fukuoka,Overall,2013,"6,160"
Australia,Fukuoka,Overall,2014,"9,980"
Australia,Fukuoka,Overall,2015,"14,500"
Australia,Fukuoka,Overall,2016,"15,700"
Australia,Fukuoka,Overall,2017,"12,680"
Australia,Fukuoka,Overall,2018,"15,830"
Australia,Fukuoka,Overall,2019,"27,400"
Australia,Fukuoka,Overall,2020,"3,980"
Australia,Fukuoka,Overall,2021,120
Australia,Fukuoka,Overall,2022,"4,810"
Australia,Fukuoka,Overall,2023,"40,860"
Australia,Fukuoka,Overall,2024,"56,950"
Australia,Fukushima,Overall,2011,530
Australia,Fukushima,Overall,2012,280
Australia,Fukushima,Overall,2013,390
Australia,Fukushima,Overall,2014,340
Australia,Fukushima,Overall,2015,"1,520"
Australia,Fukushima,Overall,2016,"2,280"
Australia,Fukushima,Overall,2017,"3,120"
Australia,Fukushima,Overall,2018,"6,700"
Australia,Fukushima,Overall,2019,"7,210"
Australia,Fukushima,Overall,2020,"2,780"
Australia,Fukushima,Overall,2021,520
Australia,Fukushima,Overall,2022,330
Australia,Fukushima,Overall,2023,"3,040"
Australia,Fukushima,Overall,2024,"6,100"
Australia,Gifu,Overall,2011,"4,420"
Australia,Gifu,Overall,2012,"9,620"
Australia,Gifu,Overall,2013,"13,180"
Australia,Gifu,Overall,2014,"18,960"
Australia,Gifu,Overall,2015,"21,760"
Australia,Gifu,Overall,2016,"27,100"
Australia,Gifu,Overall,2017,"30,960"
Australia,Gifu,Overall,2018,"35,870"
Australia,Gifu,Overall,2019,"29,910"
Australia,Gifu,Overall,2020,"3,940"
Australia,Gifu,Overall,2021,20
Australia,Gifu,Overall,2022,"2,550"
Australia,Gifu,Overall,2023,"26,490"
Australia,Gifu,Overall,2024,"53,560"
Australia,Gunma,Overall,2011,500
Australia,Gunma,Overall,2012,720
Australia,Gunma,Overall,2013,"1,630"
Australia,Gunma,Overall,2014,"1,250"
Australia,Gunma,Overall,2015,"1,890"
Australia,Gunma,Overall,2016,"3,290"
Australia,Gunma,Overall,2017,"2,940"
Australia,Gunma,Overall,2018,"3,410"
Australia,Gunma,Overall,2019,"3,460"
Australia,Gunma,Overall,2020,930
Australia,Gunma,Overall,2021,50
Australia,Gunma,Overall,2022,640
Australia,Gunma,Overall,2023,"7,750"
Australia,Gunma,Overall,2024,"9,170"
Australia,Hiroshima,Overall,2011,"8,800"
Australia,Hiroshima,Overall,2012,"21,010"
Australia,Hiroshima,Overall,2013,"28,220"
Australia,Hiroshima,Overall,2014,"36,180"
Australia,Hiroshima,Overall,2015,"61,710"
Australia,Hiroshima,Overall,2016,"70,470"
Australia,Hiroshima,Overall,2017,"74,250"
Australia,Hiroshima,Overall,2018,"74,160"
Australia,Hiroshima,Overall,2019,"89,950"
Australia,Hiroshima,Overall,2020,"12,340"
Australia,Hiroshima,Overall,2021,160
Australia,Hiroshima,Overall,2022,"5,140"
Australia,Hiroshima,Overall,2023,"75,250"
Australia,Hiroshima,Overall,2024,"131,150"
Australia,Hokkaido,Overall,2011,"36,510"
Australia,Hokkaido,Overall,2012,"31,170"
Australia,Hokkaido,Overall,2013,"49,850"
Australia,Hokkaido,Overall,2014,"85,080"
Australia,Hokkaido,Overall,2015,"104,360"
Australia,Hokkaido,Overall,2016,"136,610"
Australia,Hokkaido,Overall,2017,"147,930"
Australia,Hokkaido,Overall,2018,"141,750"
Australia,Hokkaido,Overall,2019,"230,850"
Australia,Hokkaido,Overall,2020,"116,160"
Australia,Hokkaido,Overall,2021,"1,130"
Australia,Hokkaido,Overall,2022,"24,130"
Australia,Hokkaido,Overall,2023,"169,810"
Australia,Hokkaido,Overall,2024,"234,000"
Australia,Hyogo,Overall,2011,"4,110"
Australia,Hyogo,Overall,2012,"4,620"
Australia,Hyogo,Overall,2013,"6,090"
Australia,Hyogo,Overall,2014,"7,500"
Australia,Hyogo,Overall,2015,"12,820"
Australia,Hyogo,Overall,2016,"13,370"
Australia,Hyogo,Overall,2017,"15,210"
Australia,Hyogo,Overall,2018,"14,500"
Australia,Hyogo,Overall,2019,"22,470"
Australia,Hyogo,Overall,2020,"3,320"
Australia,Hyogo,Overall,2021,590
Australia,Hyogo,Overall,2022,"2,690"
Australia,Hyogo,Overall,2023,"21,870"
Australia,Hyogo,Overall,2024,"36,810"
Australia,Ibaraki,Overall,2011,570
Australia,Ibaraki,Overall,2012,780
Australia,Ibaraki,Overall,2013,830
Australia,Ibaraki,Overall,2014,"1,530"
Australia,Ibaraki,Overall,2015,990
Australia,Ibaraki,Overall,2016,"1,400"
Australia,Ibaraki,Overall,2017,"1,710"
Australia,Ibaraki,Overall,2018,"1,800"
Australia,Ibaraki,Overall,2019,"2,020"
Australia,Ibaraki,Overall,2020,330
Australia,Ibaraki,Overall,2021,40
Australia,Ibaraki,Overall,2022,750
Australia,Ibaraki,Overall,2023,"2,680"
Australia,Ibaraki,Overall,2024,"2,470"
Australia,Ishikawa,Overall,2011,"3,220"
Australia,Ishikawa,Overall,2012,"3,480"
Australia,Ishikawa,Overall,2013,"5,480"
Australia,Ishikawa,Overall,2014,"8,680"
Australia,Ishikawa,Overall,2015,"13,490"
Australia,Ishikawa,Overall,2016,"17,640"
Australia,Ishikawa,Overall,2017,"22,670"
Australia,Ishikawa,Overall,2018,"32,070"
Australia,Ishikawa,Overall,2019,"38,260"
Australia,Ishikawa,Overall,2020,"6,480"
Australia,Ishikawa,Overall,2021,30
Australia,Ishikawa,Overall,2022,"4,220"
Australia,Ishikawa,Overall,2023,"52,900"
Australia,Ishikawa,Overall,2024,"111,440"
Australia,Iwate,Overall,2011,940
Australia,Iwate,Overall,2012,690
Australia,Iwate,Overall,2013,"1,390"
Australia,Iwate,Overall,2014,"2,080"
Australia,Iwate,Overall,2015,"2,660"
Australia,Iwate,Overall,2016,"3,510"
Australia,Iwate,Overall,2017,"3,790"
Australia,Iwate,Overall,2018,"4,980"
Australia,Iwate,Overall,2019,"8,030"
Australia,Iwate,Overall,2020,"7,650"
Australia,Iwate,Overall,2021,30
Australia,Iwate,Overall,2022,600
Australia,Iwate,Overall,2023,"7,490"
