"Characteristic","Married","Not married"
"Age 24, total (in 1980-1989)","43.3","56.7"
"Less than a high school diploma","49.2","50.8"
"High school diploma","49.6","50.4"
"Some college/associate degree","45.9","54.1"
"Bachelor's degree or higher","31.1","68.9"
"","",""
"Age 34, total (in 1990-1998)","67.7","32.1"
"Less than a high school diploma","58.6","41.4"
"High school diploma","66.3","33.7"
"Some college/associate degree","66.8","33.2"
"Bachelor's degree or higher","73.2","26.8"
"","",""
"Age 44, total (in 2000-2009)","70.4","29.6"
"Less than a high school diploma","55.2","44.8"
"High school diploma","67.1","32.9"
"Some college/associate degree","69.6","30.4"
"Bachelor's degree or higher","79.0","21.0"
"","",""
"Age 54, total (in 2010-2019","65.8","34.2"
"Less than a high school diploma","52.6","47.4"
"High school diploma","63.2","36.8"
"Some college/associate degree","62.4","37.6"
"Bachelor's degree or higher","75.2","24.8"
"","",""
"Age 58, total (in 2014-2023)","64.4","35.6"
"Less than a high school diploma","46.8","53.2"
"High school diploma","61.4","38.6"
"Some college/associate degree","62.6","37.4"
"Bachelor's degree or higher","74.3","25.7"
""
